                                    name ROOTtype arraytype isarray        countname countROOTtype countarraytype
                         genLep_sourceId    Int_t         i    yes           ngenLep         Int_t              i
                           genLep_charge Double_t         d    yes           ngenLep         Int_t              i
                           genLep_status    Int_t         i    yes           ngenLep         Int_t              i
                            genLep_pdgId    Int_t         i    yes           ngenLep         Int_t              i
                               genLep_pt Double_t         d    yes           ngenLep         Int_t              i
                              genLep_eta Double_t         d    yes           ngenLep         Int_t              i
                              genLep_phi Double_t         d    yes           ngenLep         Int_t              i
                             genLep_mass Double_t         d    yes           ngenLep         Int_t              i
                      genLep_motherIndex    Int_t         i    yes           ngenLep         Int_t              i
                                 ngenJet    Int_t         i      no             None          None           None
                            genJet_pdgId    Int_t         i    yes           ngenJet         Int_t              i
                               genJet_pt Double_t         d    yes           ngenJet         Int_t              i
                              genJet_eta Double_t         d    yes           ngenJet         Int_t              i
                              genJet_phi Double_t         d    yes           ngenJet         Int_t              i
                             genJet_mass Double_t         d    yes           ngenJet         Int_t              i
                           genJet_charge Double_t         d    yes           ngenJet         Int_t              i
                           genJet_status    Int_t         i    yes           ngenJet         Int_t              i
