                             component              met       n    nvar
           QCD_HT700to1000_madgraphMLM  0.0251188643151       1       1
           QCD_HT700to1000_madgraphMLM  0.0316227766017       6       6
           QCD_HT700to1000_madgraphMLM  0.0398107170553       6       6
           QCD_HT700to1000_madgraphMLM  0.0501187233627       7       7
           QCD_HT700to1000_madgraphMLM   0.063095734448      21      21
           QCD_HT700to1000_madgraphMLM  0.0794328234724      33      33
           QCD_HT700to1000_madgraphMLM              0.1      47      47
           QCD_HT700to1000_madgraphMLM   0.125892541179      69      69
           QCD_HT700to1000_madgraphMLM   0.158489319246     132     132
           QCD_HT700to1000_madgraphMLM   0.199526231497     194     194
           QCD_HT700to1000_madgraphMLM   0.251188643151     303     303
           QCD_HT700to1000_madgraphMLM   0.316227766017     456     456
           QCD_HT700to1000_madgraphMLM   0.398107170553     729     729
           QCD_HT700to1000_madgraphMLM   0.501187233627    1150    1150
           QCD_HT700to1000_madgraphMLM    0.63095734448    1886    1886
           QCD_HT700to1000_madgraphMLM   0.794328234724    2906    2906
           QCD_HT700to1000_madgraphMLM              1.0    4708    4708
           QCD_HT700to1000_madgraphMLM    1.25892541179    7459    7459
           QCD_HT700to1000_madgraphMLM    1.58489319246   11954   11954
           QCD_HT700to1000_madgraphMLM    1.99526231497   18664   18664
           QCD_HT700to1000_madgraphMLM    2.51188643151   29683   29683
           QCD_HT700to1000_madgraphMLM    3.16227766017   46572   46572
           QCD_HT700to1000_madgraphMLM    3.98107170553   73563   73563
           QCD_HT700to1000_madgraphMLM    5.01187233627  115012  115012
           QCD_HT700to1000_madgraphMLM     6.3095734448  179653  179653
           QCD_HT700to1000_madgraphMLM    7.94328234724  277028  277028
           QCD_HT700to1000_madgraphMLM               10  420971  420971
           QCD_HT700to1000_madgraphMLM    12.5892541179  626191  626191
           QCD_HT700to1000_madgraphMLM    15.8489319246  901319  901319
           QCD_HT700to1000_madgraphMLM    19.9526231497 1235020 1235020
           QCD_HT700to1000_madgraphMLM    25.1188643151 1582379 1582379
           QCD_HT700to1000_madgraphMLM    31.6227766017 1830381 1830381
           QCD_HT700to1000_madgraphMLM    39.8107170553 1839037 1839037
           QCD_HT700to1000_madgraphMLM    50.1187233627 1539296 1539296
           QCD_HT700to1000_madgraphMLM     63.095734448 1008994 1008994
           QCD_HT700to1000_madgraphMLM    79.4328234724  494947  494947
           QCD_HT700to1000_madgraphMLM            100.0  183122  183122
           QCD_HT700to1000_madgraphMLM    125.892541179   60122   60122
           QCD_HT700to1000_madgraphMLM    158.489319246   21263   21263
           QCD_HT700to1000_madgraphMLM    199.526231497    6985    6985
           QCD_HT700to1000_madgraphMLM    251.188643151    1723    1723
           QCD_HT700to1000_madgraphMLM    316.227766017     251     251
           QCD_HT700to1000_madgraphMLM    398.107170553      31      31
           QCD_HT700to1000_madgraphMLM    501.187233627      16      16
           QCD_HT700to1000_madgraphMLM     630.95734448       6       6
           QCD_HT700to1000_madgraphMLM    794.328234724       6       6
           QCD_HT700to1000_madgraphMLM           1000.0       1       1
           QCD_HT700to1000_madgraphMLM    1258.92541179       0       0
             TTJets_DiLept_madgraphMLM  0.0251188643151       1       1
             TTJets_DiLept_madgraphMLM  0.0316227766017       0       0
             TTJets_DiLept_madgraphMLM   0.125892541179       1       1
             TTJets_DiLept_madgraphMLM   0.158489319246       1       1
             TTJets_DiLept_madgraphMLM   0.199526231497       0       0
             TTJets_DiLept_madgraphMLM   0.251188643151       1       1
             TTJets_DiLept_madgraphMLM   0.316227766017       5       5
             TTJets_DiLept_madgraphMLM   0.398107170553       2       2
             TTJets_DiLept_madgraphMLM   0.501187233627      10      10
             TTJets_DiLept_madgraphMLM    0.63095734448      22      22
             TTJets_DiLept_madgraphMLM   0.794328234724      21      21
             TTJets_DiLept_madgraphMLM              1.0      30      30
             TTJets_DiLept_madgraphMLM    1.25892541179      49      49
             TTJets_DiLept_madgraphMLM    1.58489319246      93      93
             TTJets_DiLept_madgraphMLM    1.99526231497     137     137
             TTJets_DiLept_madgraphMLM    2.51188643151     234     234
             TTJets_DiLept_madgraphMLM    3.16227766017     345     345
             TTJets_DiLept_madgraphMLM    3.98107170553     549     549
             TTJets_DiLept_madgraphMLM    5.01187233627     893     893
             TTJets_DiLept_madgraphMLM     6.3095734448    1428    1428
             TTJets_DiLept_madgraphMLM    7.94328234724    2154    2154
             TTJets_DiLept_madgraphMLM               10    3507    3507
             TTJets_DiLept_madgraphMLM    12.5892541179    5343    5343
             TTJets_DiLept_madgraphMLM    15.8489319246    8360    8360
             TTJets_DiLept_madgraphMLM    19.9526231497   12949   12949
             TTJets_DiLept_madgraphMLM    25.1188643151   19769   19769
             TTJets_DiLept_madgraphMLM    31.6227766017   29930   29930
             TTJets_DiLept_madgraphMLM    39.8107170553   43457   43457
             TTJets_DiLept_madgraphMLM    50.1187233627   61360   61360
             TTJets_DiLept_madgraphMLM     63.095734448   79534   79534
             TTJets_DiLept_madgraphMLM    79.4328234724   94522   94522
             TTJets_DiLept_madgraphMLM            100.0   96880   96880
             TTJets_DiLept_madgraphMLM    125.892541179   80610   80610
             TTJets_DiLept_madgraphMLM    158.489319246   53553   53553
             TTJets_DiLept_madgraphMLM    199.526231497   27783   27783
             TTJets_DiLept_madgraphMLM    251.188643151   11106   11106
             TTJets_DiLept_madgraphMLM    316.227766017    3890    3890
             TTJets_DiLept_madgraphMLM    398.107170553    1265    1265
             TTJets_DiLept_madgraphMLM    501.187233627     356     356
             TTJets_DiLept_madgraphMLM     630.95734448      91      91
             TTJets_DiLept_madgraphMLM    794.328234724      22      22
             TTJets_DiLept_madgraphMLM           1000.0       7       7
             TTJets_DiLept_madgraphMLM    1258.92541179       1       1
             TTJets_DiLept_madgraphMLM    1584.89319246       1       1
             TTJets_DiLept_madgraphMLM    1995.26231497       0       0
       TTJets_HT1200to2500_madgraphMLM   0.063095734448       1       1
       TTJets_HT1200to2500_madgraphMLM  0.0794328234724       0       0
       TTJets_HT1200to2500_madgraphMLM   0.125892541179       3       3
       TTJets_HT1200to2500_madgraphMLM   0.158489319246       6       6
       TTJets_HT1200to2500_madgraphMLM   0.199526231497      10      10
       TTJets_HT1200to2500_madgraphMLM   0.251188643151       5       5
       TTJets_HT1200to2500_madgraphMLM   0.316227766017      17      17
